productId,sellerId,oriMinPrice,oriMaxPrice,productTitle,promotionId,URL
4001082068196,200489596,US $51.12,US $98.31,Rosabeauty 30 32 inch 13x4 Straight Lace Front Wig Peruvian Human Hair 4x4 5X5 13X6 Transparent Lace Closure Frontal Wigs,1910165734,"//www.aliexpress.com/item/4001082068196.html?pdp_ext_f=%7B%22sku_id%22:%2212000018018889885%22,%22ship_from%22:%22CN%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=375266d3-7e89-4a7a-9012-23fe492257f1"
4000943018191,231818581,US $193.00,US $316.40,SVT Indian Deep Curly Lace Front Wig Human Hair Wigs For Black Women Deep Wave 4x4 Glueless Lace Closure Wig Prelucked Hairline,1909403946,"//www.aliexpress.com/item/4000943018191.html?pdp_ext_f=%7B%22sku_id%22:%2210000014305594737%22,%22ship_from%22:%22US%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=375266d3-7e89-4a7a-9012-23fe492257f1"
1005002449179324,241003639,US $239.58,US $479.16,30 Inch Body Wave Lace Front Wig 13x4 Lace Frontal Human Hair Wigs for Black Women Brazilian Pre-plucked HD Loose Deep Wave Wigs,1909832440,"//www.aliexpress.com/item/1005002449179324.html?pdp_ext_f=%7B%22sku_id%22:%2212000020698139514%22,%22ship_from%22:%22US%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=375266d3-7e89-4a7a-9012-23fe492257f1"
4000203480306,220527017,US $0.01,US $1.98,Vnox Basic Punk Stainless Steel Necklace for Men Women Curb Cuban Link Chain Chokers Vintage Black Gold Tone Solid Metal,1909409990,"//www.aliexpress.com/item/4000203480306.html?pdp_ext_f=%7B%22sku_id%22:%2210000000774745001%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=375266d3-7e89-4a7a-9012-23fe492257f1"
1005001780778399,238762316,US $9.86,US $19.73,Women Thick Platform Slippers Summer Beach Eva Soft Sole Slide Sandals Leisure Men Ladies Indoor Bathroom Anti-slip Shoes,1909409990,"//www.aliexpress.com/item/1005001780778399.html?pdp_ext_f=%7B%22sku_id%22:%2212000020547969425%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=375266d3-7e89-4a7a-9012-23fe492257f1"
1005002278750230,248285832,US $22.21,US $138.83,LIGE 2021 New Smart Watch Men Full Touch Screen Sport Fitness Watch IP67 Waterproof Bluetooth For Android ios smartwatch Men+box,1909832440,"//www.aliexpress.com/item/1005002278750230.html?pdp_ext_f=%7B%22sku_id%22:%2212000019885913794%22,%22ship_from%22:%22ES%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=375266d3-7e89-4a7a-9012-23fe492257f1"
1005002027438625,224759163,US $19.81,US $39.62,Eilyken 2021 New Summer Fashion Design Weave Women Sandals Transparent Strange High heels Ladies Sandals Open Toe Shoes,1909409990,"//www.aliexpress.com/item/1005002027438625.html?pdp_ext_f=%7B%22sku_id%22:%2212000018459277418%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=375266d3-7e89-4a7a-9012-23fe492257f1"
4000517004580,228754193,US $42.12,US $102.72,Deep Tissue Muscle Massage Gun Body Shoulder Back Neck Massager Exercising Athletes Relaxation Slimming Shaping Pain Relief,1909836164,"//www.aliexpress.com/item/4000517004580.html?pdp_ext_f=%7B%22sku_id%22:%2212000016191808432%22,%22ship_from%22:%22ES%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=375266d3-7e89-4a7a-9012-23fe492257f1"
1005001737420626,237253742,US $65.65,US $126.25,Brazilian Curly Hair Headband Wig Glueless Scarf Remy Human Hair Wigs for Black Women Full Machine Made Wig Beginner Friendly,1909409990,"//www.aliexpress.com/item/1005001737420626.html?pdp_ext_f=%7B%22sku_id%22:%2212000017393112833%22,%22ship_from%22:%22CN%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=375266d3-7e89-4a7a-9012-23fe492257f1"
1005001774142805,238990876,US $43.78,US $398.00,Jerry Curly Human Hair Wigs with Bangs Full Machine Made Wigs Highlight Honey Blonde Colored Wigs For Women Peruvian Remy Hair,1909409990,"//www.aliexpress.com/item/1005001774142805.html?pdp_ext_f=%7B%22sku_id%22:%2212000017520445752%22,%22ship_from%22:%22%22%7D&gps-id=5547572&scm=1007.19201.130907.0&scm_id=1007.19201.130907.0&scm-url=1007.19201.130907.0&pvid=375266d3-7e89-4a7a-9012-23fe492257f1"
